min,mean,max,learning_rate,inertia,ff,opt,sp
[ 0.06190907],[ 2.52293065],[ 5.14224712],,,Plateau3D,HillClimber,[-1.9 -1.9]
[ 0.10620081],[ 2.942251],[ 5.14697845],,,Plateau3D,HillClimber,[-1.9        -1.47777778]
[-0.13007605],[ 2.95096089],[ 5.13669103],,,Plateau3D,HillClimber,[-1.9        -1.05555556]
[-0.99247791],[ 1.88531796],[ 5.13487224],,,Plateau3D,HillClimber,[-1.9        -0.63333333]
[-2.02620317],[ 0.30810987],[ 5.1390301],,,Plateau3D,HillClimber,[-1.9        -0.21111111]
[-2.3043627],[-0.01697337],[ -1.55327606e-127],,,Plateau3D,HillClimber,[-1.9         0.21111111]
[-1.66949026],[-0.00981709],[  5.24969489e-71],,,Plateau3D,HillClimber,[-1.9         0.63333333]
[-0.67498363],[ 5.61526313],[ 12.22445463],,,Plateau3D,HillClimber,[-1.9         1.05555556]
[ 0.02794792],[ 7.14221567],[ 12.24392426],,,Plateau3D,HillClimber,[-1.9         1.47777778]
[ 0.20088618],[ 7.14122765],[ 12.23959975],,,Plateau3D,HillClimber,[-1.9  1.9]
[-0.03518406],[ 2.00079954],[ 5.16433921],,,Plateau3D,HillClimber,[-1.47777778 -1.9       ]
[ 0.30280717],[ 3.24531302],[ 5.15124641],,,Plateau3D,HillClimber,[-1.47777778 -1.47777778]
[ 0.40534496],[ 3.99897435],[ 5.12926193],,,Plateau3D,HillClimber,[-1.47777778 -1.05555556]
[-1.01345012],[ 3.69036436],[ 5.1553664],,,Plateau3D,HillClimber,[-1.47777778 -0.63333333]
[-3.25266235],[ 2.89558181],[ 5.16525801],,,Plateau3D,HillClimber,[-1.47777778 -0.21111111]
[-4.09757856],[-0.07018539],[ -1.09127561e-121],,,Plateau3D,HillClimber,[-1.47777778  0.21111111]
[-3.00855027],[ 6.68334757],[ 12.18560399],,,Plateau3D,HillClimber,[-1.47777778  0.63333333]
[-0.85829062],[ 7.73266614],[ 12.21792523],,,Plateau3D,HillClimber,[-1.47777778  1.05555556]
