runs,iterations,pop_size,select_perc,mutation_prob,min,max,mean
30,100,10,0.1,0.01,273.37886852287465,273.49362992573225,273.46539344046528
30,100,10,0.1,0.1,227.83202743315277,233.36164387255468,228.8102216271962
30,100,10,0.1,0.3,190.24735017452741,199.46122126614574,192.09049672686939
30,100,10,0.2,0.01,266.26160560982026,266.80874642545507,266.3190141151411
30,100,10,0.2,0.1,222.75210587020109,228.47210278268884,223.84107295606717
30,100,10,0.2,0.3,187.10684934281016,196.91947600458067,189.4603809711904
30,100,10,0.6,0.01,257.464733142765,258.48030443231363,257.70486313702361
30,100,10,0.6,0.1,225.1064688202305,231.78649905998165,227.53378202877258
30,100,10,0.6,0.3,205.52905802051802,225.23295081827973,211.95573962916671
30,100,100,0.1,0.01,206.30405727178047,213.77972450124071,207.57969614469886
30,100,100,0.1,0.1,154.92243221612458,172.86034335809975,156.90379385398262
30,100,100,0.1,0.3,134.54809399715501,158.24857301163223,137.70514141820493
30,100,100,0.2,0.01,202.56616833457241,212.49143709093366,203.58984150684938
30,100,100,0.2,0.1,160.8353350144877,186.21499931709022,163.96544993311826
30,100,100,0.2,0.3,142.91816599751078,173.40877340445027,147.75324350768523
30,100,100,0.6,0.01,205.05239213011944,228.38617333815003,209.13966351080137
30,100,100,0.6,0.1,185.6515473974583,221.19607135174985,192.77993409432818
30,100,100,0.6,0.3,180.80036614056874,226.08287774180661,194.81837148463964
30,100,200,0.1,0.01,185.16660010167953,193.83637016404512,186.15284965796403
30,100,200,0.1,0.1,141.73027362287704,169.24547335327881,144.21524711109984
30,100,200,0.1,0.3,123.76456840812826,153.54569404043451,127.81754718028364
30,100,200,0.2,0.01,185.8139688374462,200.90595294997459,186.95322062688732
30,100,200,0.2,0.1,148.74125955230323,175.22399449491724,151.31316658388357
30,100,200,0.2,0.3,133.05836233887968,173.29346093885098,138.26374448779248
30,100,200,0.6,0.01,185.8658808571422,209.57241927780373,189.58111776866923
30,100,200,0.6,0.1,176.50992913516245,215.3274232249357,183.67154783311287
30,100,200,0.6,0.3,173.0169023349321,225.54355520042449,194.00327773002797
